BeerID,Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId
25,NEIPA Hoppy ( juicy) -  Braumeister 20L,American IPA,7,21,1.062,1.014,6.29,53.57,5.21,25,70,1.052,73,N/A,Specific Gravity,BIAB,0.75,20,N/A,N/A,54364
26,Dale's Pale Ale Clone,American Pale Ale,10,18.93,1.067,1.017,6.6,0,11.69,18.93,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
27,IPA - Tired Hands Milkshake,American IPA,7,24.61,1.058,1.017,5.34,57.84,3.98,28.39,60,1.05,83,N/A,Specific Gravity,BIAB,0.5,18.33,N/A,N/A,16332
28,Bakke Brygg Julelager 20 l,Traditional Bock,163,20,1.065,1.018,6.22,27.12,16.66,25,90,1.052,70,N/A,Specific Gravity,All Grain,N/A,10,Sukkerlake,6 gram sukker pr l,18325
29,Grapefruit IPA,American IPA,7,26.5,1.052,1.012,5.31,60.58,5.82,32.18,60,1.043,70,1.3,Specific Gravity,All Grain,0.75,20.56,N/A,N/A,
30,Bakke Brygg Robust Porter 50 l,Robust Porter,129,50,1.058,1.014,5.76,39,38.71,58,60,1.05,71,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,5 5 g sukker/l,18325
31,Heineken Lager Clone,Premium American Lager,124,48,1.049,1.008,5.41,24.28,3.3,60,90,1.039,75,2.5,Specific Gravity,All Grain,1.5,11,N/A,N/A,40623
32,Mosaic IPA,American IPA,7,18.93,1.074,1.018,7.24,0,7.68,22.71,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,35054
33,New England IPA,American IPA,7,19.87,1.071,1.018,6.93,68.91,6.82,28.39,60,1.05,72,1.5,Specific Gravity,All Grain,1,20,N/A,N/A,25649
34,Tree House Julius Clone,American IPA,7,20.82,1.065,1.018,6.26,89.61,6.93,28.39,60,1.045,70,1.32,Specific Gravity,All Grain,0.5,20.56,N/A,N/A,
35,Breck Vanilla Porter Clone,Robust Porter,129,22.71,1.053,1.012,5.38,0,46.1,31.95,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
36,The Devil is in the Details (Duvel Clone)...,Belgian Golden Strong Ale,23,41.64,1.069,1.005,8.4,40.71,3.11,49.21,90,1.058,80,1.5,Specific Gravity,All Grain,1,17.78,Force Carb,30 PSI,15241
37,Cascade Pale Ale,American Pale Ale,10,20.82,1.049,1.009,5.24,40.86,3.79,26.5,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
38,Brewdog Punk IPA clone,American IPA,7,46,13.9618,3.4853,5.65,37.62,4.96,55,90,11.8,75,3.3,Plato,All Grain,1,18,Force carb,N/A,
39,Rochefort 8 Clone,N/A,111,18.93,1.079,1.019,7.9,0,29.4,24.26,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
40,Trillium Inspired Pale Ale Clone,Double IPA,56,20.82,1.07,1.015,7.22,78.14,5.67,26.5,60,1.05,60,1.3,Specific Gravity,All Grain,1,17.78,Forced Carbonation,N/A,50283
41,Mango Blonde Ale v2.2,Blonde Ale,30,22.71,1.043,1.007,4.7,19.68,3.82,28.16,90,1.035,75,N/A,Specific Gravity,BIAB,N/A,16.67,N/A,N/A,56565
42,Strawberry Blonde Ale,Blonde Ale,30,18.93,1.06,1.016,5.83,27.15,5.18,13.25,60,N/A,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
43,Vanilla Caramel Cream Ale,Cream Ale,45,18.93,1.055,1.014,5.43,33.67,10.08,15.14,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
44,Coors Light Clone,Light American Lager,100,20.82,1.036,1.008,3.7,29.37,2.83,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
45,Samuel Adams - Boston Lager Clone,German Pilsner (Pils),81,20.82,1.05,1.013,4.93,43.66,9.89,13.25,60,1.079,70,N/A,Specific Gravity,Partial Mash,1.5,10,DME boiled in 2 cups water,6.50 oz,20681
46,Caribou Slobber (All Grain),American Brown Ale,6,22.71,1.056,1.014,5.57,35.32,20.59,30.28,60,1.042,80,N/A,Specific Gravity,BIAB,1,19.44,N/A,N/A,5889
47,Bakke Brygg Havrestout 20 l,Oatmeal Stout,114,20,1.059,1.019,5.21,37.34,42.09,24,90,1.049,75,N/A,Specific Gravity,All Grain,N/A,19,Sukkerlake,5 g sukker/l,18325
48,Southern Tier Cr�me Br�l�e Clone,Specialty Beer,145,20.82,1.096,1.024,9.48,112.51,40,11.36,60,N/A,30,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,118 grams,1116
49,Nugget Nectar Clone,American Amber Ale,4,18.93,1.075,1.009,7.5,0,8.48,22.71,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
50,Bakke Brygg K�lsch 20 l,K�lsch,94,20,1.046,1.009,4.84,23.22,2.85,25,90,1.037,73,N/A,Specific Gravity,BIAB,1.25,16,N/A,N/A,18325
51,Kronenbourg Blanc clone (�t� dans un verre...,Witbier,175,18.93,1.051,1.012,5.22,18.67,3.67,27.78,60,1.035,68,1.25,Specific Gravity,All Grain,0.75,20,N/A,N/A,13114
52,Simple Citra IPA - One Gallon,American IPA,7,3.79,1.058,1.011,6.1,37.06,11.45,5.68,60,1.039,55,1.5,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,45128
53,Hoegaarden Clone,Weizen/Weissbier,170,20.82,1.052,1.013,5.18,13.5,4.05,28.39,60,1.038,70,1.5,Specific Gravity,All Grain,N/A,21.11,N/A,N/A,
54,Holy Water - Trappist Single,Trappist Single,165,21,1.053,1.012,5.39,35.13,3.6,29,90,1.039,75,5.154,Specific Gravity,All Grain,N/A,20,N/A,N/A,5560
55,Blood Orange IPA Clone,American IPA,7,19.87,1.064,1.015,6.47,56.62,8.23,29.34,60,1.043,70,1.35,Specific Gravity,All Grain,N/A,21.11,N/A,N/A,
56,Biermuncher's Centennial Blonde,Blonde Ale,30,20.82,1.041,1.011,3.83,21.02,3.73,24.61,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Corn Sugar,4.1 oz,
57,Julius | Tree House Brewing (approximation) ...,American IPA,7,21,1.067,1.015,6.81,69.73,5.59,25,70,1.053,73,N/A,Specific Gravity,BIAB,0.75,20,N/A,N/A,54364
58,Bert's Boneyard RPM IPA Clone,American IPA,7,18.93,1.068,1.016,6.76,0,6.81,18.93,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
59,Bakke Brygg Imperial Stout 20 L,Russian Imperial Stout,132,20,1.098,1.025,9.67,69.25,50,24,90,1.082,65,N/A,Specific Gravity,All Grain,1,18,Sukkerlake,5 5 g sukker/L,18325
60,Red Trolley Clone,American Amber Ale,4,20.82,1.06,1.016,5.71,17.56,29.6,27.44,60,1.045,75,N/A,Specific Gravity,All Grain,1.25,20,corn sugar,5 oz,365
61,New England IPA,American IPA,7,21.77,1.066,1.018,6.31,92.1,4.82,26.5,60,1.054,75,1.5,Specific Gravity,All Grain,N/A,18.89,N/A,N/A,
62,West coast ipa,American IPA,7,18.93,1.062,1.016,6.13,66,6.97,22.71,60,1.052,51,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
63,Founders Porter clone,Robust Porter,129,20.82,1.062,1.015,6.06,34.61,40,26.5,90,1.048,70,1.5,Specific Gravity,All Grain,N/A,19.44,N/A,N/A,1051
64,Dreaded Jake Porter - Robust Porter,Robust Porter,129,49.21,1.063,1.015,6.32,36.3,33.24,49.21,60,1.063,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,14477
65,Bavarian Hefeweizen,Weizen/Weissbier,170,19.87,1.044,1.011,4.45,12.35,3.65,27.44,90,1.032,65,N/A,Specific Gravity,BIAB,0.75,16.67,N/A,N/A,993
66,Milkshake Style IPA Clone,American IPA,7,22.71,1.078,1.025,7.05,60.66,7.06,26.5,60,1.061,70,N/A,Specific Gravity,BIAB,0.5,21.11,N/A,N/A,
67,Siddhartha of Suburbia Saison,Saison,134,20.82,1.072,1.013,7.66,31.43,6.24,26.5,60,1.056,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1186
68,Oatmeal Cookie Ale,American Brown Ale,6,11.73,1.056,1.014,5.53,0,18.8,15.07,90,N/A,73,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
69,Clone - Firestone Wookey Jack - Black Rye IP...,Specialty IPA: Black IPA,148,37.85,1.085,1.027,7.62,71.13,39.95,45.42,90,1.071,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8348
70,Paulaner clone,Weizen/Weissbier,170,140.06,1.05,1.013,4.82,15.47,6.79,147.63,60,1.047,63,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1164
71,Classic German Hefe Weissbier,Weizen/Weissbier,170,18.93,1.056,1.014,5.5,0,3.99,18.93,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
72,Hazy Juicy IPA,American IPA,7,22.71,1.062,1.012,6.51,121.43,4.26,26.5,60,1.053,70,1.5,Specific Gravity,All Grain,N/A,17.22,N/A,N/A,
73,Nutella Stout,Sweet Stout,162,19.87,1.054,1.015,5.11,31.84,35.08,15.14,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,1279
74,Syntax Error IPA II,American IPA,7,42,1.068,1.013,7.2,105.67,7.77,52,60,1.055,68,2,Specific Gravity,All Grain,N/A,19,N/A,N/A,
75,1664 Blanc Clone,Witbier,175,25,1.057,1.012,5.87,23.21,3.11,35,90,1.041,83,4.69,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
76,Founders Brewing Co. - Dirty Bastard Clone...,Strong Scotch Ale,160,20.82,1.087,1.022,8.56,85.74,24.85,13.25,60,1.137,75,N/A,Specific Gravity,All Grain,0.5,20,Corn Sugar,N/A,20681
77,Belgian Wit,Witbier,175,20.82,1.05,1.013,4.85,20.08,3.33,28.39,90,1.037,75,N/A,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
78,Pliny the Younger Clone,Imperial IPA,86,22.71,1.102,1.023,10.34,136.21,6.34,30.28,90,1.076,80,2,Specific Gravity,All Grain,0.75,16.67,N/A,N/A,5889
79,Belgian Strong Pale - La Chouffe,Belgian Golden Strong Ale,23,18.93,1.07,1.008,8.14,31.39,4.28,25.97,90,1.051,70,1.33,Specific Gravity,All Grain,N/A,20,force carb,19 psi @  50f,
80,Bill's Double Chocolate Milk Stout,Sweet Stout,162,20.82,1.066,1.021,5.87,37.61,41.27,24.61,60,1.056,65,1.25,Specific Gravity,All Grain,0.5,N/A,N/A,N/A,18590
81,Fat Head's Headhunter IPA Clone,American IPA,7,41.64,1.072,1.014,7.52,87.48,7.3,49.21,90,1.061,65,1.3,Specific Gravity,All Grain,0.75,20,Force Carb,12 psi,15241
82,Orange Mohawk (Shock top clone),Witbier,175,41.64,1.052,1.013,5.22,16.79,4.31,49.21,90,1.044,73,1.5,Specific Gravity,All Grain,0.5,20,N/A,N/A,15241
83,Jamil's Tripel,Belgian Tripel,26,19.87,1.092,1.017,9.85,36.65,5.14,25.55,90,1.072,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,993
84,Chocolate Imperial Stout,American Stout,12,20.82,1.096,1.026,9.16,33.18,40,18.93,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,453
85,Green Flash West Coast IPA Clone,American IPA,7,22.71,1.072,1.016,7.27,0,9.3,28.39,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
86,Leffe Blonde Clone v2,Belgian Pale Ale,24,18.93,1.07,1.02,6.47,23.28,5.93,7.57,60,1.174,50,N/A,Specific Gravity,extract,0.35,21.11,N/A,N/A,19124
87,Easy Imperial IPA (Double IPA),Imperial IPA,86,20.82,1.079,1.014,8.51,120.63,8.08,27.63,60,1.059,75,1.5,Specific Gravity,All Grain,1.25,18.89,N/A,N/A,26578
88,Zatarain's Root Beer - Non-Alcoholic  keg in...,N/A,111,18.93,1.046,1.013,4.27,0,3.99,11.36,0,1.077,100,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,993
89,Bakke Brygg Tsjekkisk Pilsner 25 l,Bohemian Pilsener,31,25,1.05,1.013,4.88,40.51,3.5,30,90,1.042,72,N/A,Specific Gravity,All Grain,N/A,10,Sukkerlake,6 g sukker/l,18325
90,Summer Citra K�lsch (a successful experimen...,K�lsch,94,20.82,1.049,1.012,4.84,25.23,3.79,28.39,90,N/A,68,N/A,Specific Gravity,All Grain,N/A,N/A,Dextrose,3oz,
91,Shiner Bock,Dark American Lager,52,20.82,1.043,1.011,4.14,13.22,17.67,28.39,90,N/A,85,N/A,Specific Gravity,All Grain,1.75,12.22,N/A,N/A,10445
92,Bakke Brygg Pale Ale 5 l,American Pale Ale,10,5,1.054,1.011,5.61,40.55,5.66,7,60,1.038,72,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,6 g sukker/l,18325
93,The Headless Horsemen Imperial Pumpkin Ale...,Holiday/Winter Special Spiced Beer,85,18.93,1.083,1.02,8.36,101.71,15.51,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
94,Dry Irish Stout: Guinness Clone,Dry Stout,58,45.42,1.044,1.01,4.39,38.47,31.4,53,60,1.038,80,1.5,Specific Gravity,All Grain,1,18.89,N/A,N/A,5889
95,Kronenbourg 1664 Blanc klone,Witbier,175,23,1.052,1.011,5.36,18.92,3.26,29,90,1.041,75,5,Specific Gravity,All Grain,1,18,Sukker,8,
96,Jumpin' Jalape�o Saison,Saison,134,3.79,1.056,1.012,5.73,26.51,9.94,4.73,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,2824
97,NEIPA,American IPA,7,24.61,1.058,1.015,5.73,42.52,5.6,28.39,60,1.05,65,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
98,Belgian Saison - Farmhouse Style Ale,Saison,134,18.93,1.055,1.014,5.43,16.73,2.84,15.14,60,1.069,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,Sugar,3/4 cup,390
99,Cigar City Jai Alai Clone,Imperial IPA,86,20.82,1.075,1.019,7.89,97.11,11.3,28.39,75,1.055,70,1.33,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,14793
100,Cold Smoke Clone,Strong Scotch Ale,160,18.93,1.066,1.019,6.18,19,19.42,13.25,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
101,Rochefort 10 clone,Belgian Dark Strong Ale,21,19,1.096,1.01,11.3,27,20.93,22,90,1.062,74,2.75,Specific Gravity,All Grain,0.75,22,N/A,N/A,
102,Elvis juice v2.0,American IPA,7,20,1.059,1.01,6.45,32.49,6.76,25,60,1.047,70,N/A,Specific Gravity,All Grain,N/A,19,N/A,N/A,
103,Bud Light Clone,Light American Lager,100,18.93,1.04,1.009,4.11,16.34,2.1,5.68,60,1.134,50,N/A,Specific Gravity,extract,N/A,18.33,N/A,N/A,18665
104,White House Honey Ale (Official Recipe),American Amber Ale,4,20.82,1.06,1.017,5.63,27.73,8.87,11.36,50,N/A,30,N/A,Specific Gravity,extract,N/A,N/A,Dextrose,3/4 Cup,
105,Seizoen Pompoen  (Pumpkin Saison),Saison,134,18.93,1.062,1.007,7.2,0,13,24.68,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
106,Chocolate Peanut Butter Oatmeal Stout,Oatmeal Stout,114,20.82,1.069,1.02,6.39,34.93,40,28.39,60,1.051,70,1.25,Specific Gravity,All Grain,0.35,20,N/A,N/A,345
107,Weg Farmhouse Ale,Saison,134,45.42,1.051,1.012,5.19,32.59,5.63,53,60,1.044,65,N/A,Specific Gravity,All Grain,0.75,21.11,N/A,N/A,2125
108,Nelson Sauvin SMaSH,American Pale Ale,10,18.93,1.053,1.015,5.03,44.04,3.59,22.71,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,737
109,Traditional German Hefeweizen,Weizen/Weissbier,170,45.42,1.051,1.012,5.13,8.74,3.66,53,90,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
110,Juana Pe�a - Columbus - Mosaic IPA,American IPA,7,22.71,1.058,1.009,6.42,39.52,3.69,27.44,60,1.048,78,1.33,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,
111,Fresh Squeezed Clone,American IPA,7,20.82,1.066,1.018,6.24,68.07,11.58,26.5,60,1.052,77,1.25,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
112,Bells Brewery - Oberon Clone,American Wheat or Rye Beer,15,19.87,1.057,1.014,5.64,28.66,6.38,13.25,60,1.085,70,N/A,Specific Gravity,Partial Mash,0.75,20,Corn Sugar,N/A,20681
113,Brooklyn Lager clone,Vienna Lager,167,5,1.06,1.017,5.65,34.79,11.92,7,60,1.043,57,N/A,Specific Gravity,All Grain,N/A,19,N/A,N/A,
114,Bakke Brygg Tysk Pilsner 20 l,German Pilsner (Pils),81,20,1.048,1.01,4.97,36.19,2.77,25,90,1.038,73,N/A,Specific Gravity,All Grain,N/A,10,N/A,N/A,18325
115,Talus A Trippel like... BIPA,Belgian Golden Strong Ale,23,53,1.075,1.009,8.59,71.69,6.78,53,90,1.075,77,N/A,Specific Gravity,All Grain,1.25,26.67,N/A,N/A,2125
116,Bakke Brygg American IPA 40 l,American IPA,7,40,1.065,1.012,6.88,65.04,6.75,50,60,1.052,70,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,120g,18325
117,Bass Ale Clone,Special/Best/Premium Bitter,144,20.82,1.052,1.015,4.8,31.71,13.23,27.44,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,365
118,Dogfish Head Brewery - Dogfish Head 60 Minut...,American IPA,7,20.82,1.064,1.018,6.03,70.74,9.01,13.25,60,1.1,70,N/A,Specific Gravity,Partial Mash,0.75,20,Corn Sugar,N/A,20681
119,Blonde Stout,Experimental Beer,67,20.82,1.083,1.023,7.86,54.32,6.53,15.14,60,1.114,75,N/A,Specific Gravity,Partial Mash,0.75,21.11,Corn Sugar,N/A,20681
120,FAT YAK,American Pale Ale,10,20,1.055,1.014,5.46,35.01,8.06,25,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,FORCED CARB,N/A,1752
121,Delirium Tremens clone,Belgian Golden Strong Ale,23,19,1.09,1.022,8.97,31.75,5.64,24,90,1.071,70,2.43,Specific Gravity,All Grain,1,21,Inverted sugar,10g/L,
122,Founder's Brewing's Breakfast Stout Clone...,Oatmeal Stout,114,20.82,1.072,1.01,8.11,49.59,40,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,Forced Carbonation,3 weeks (min.) at 8 psig,316
123,Smithwick's Irish Ale,Irish Red Ale,92,18.93,1.046,1.011,4.5,0,16.76,24.61,75,N/A,75,1.42,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
124,Bakke Brygg JuleAle 2015 20 l,Old Ale,116,20,1.074,1.018,7.35,46.73,24.51,23,60,1.064,68,N/A,Specific Gravity,BIAB,N/A,19,Sukkerlake,5 g sukker/l,18325
125,Sierra Nevada Pale Ale Clone,American IPA,7,18.93,1.056,1.013,5.57,43.02,10.33,11.36,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
126,Treehouse Julius,American IPA,7,20.82,1.066,1.015,6.7,76.06,7.32,27.94,60,1.049,72,1.3,Specific Gravity,All Grain,0.75,18.89,N/A,N/A,12244
127,Founders All Day IPA Clone,American Pale Ale,10,18.93,1.052,1.01,5.55,45.2,8.14,21.77,60,1.046,67,1.5,Specific Gravity,All Grain,0.5,18.33,N/A,N/A,
128,All Grain American Honey Wheat,American Wheat or Rye Beer,15,18.93,1.06,1.014,5.97,28.02,3.76,18.93,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,718
129,Dreaded Christmas Ale -SBA,Holiday/Winter Special Spiced Beer,85,45.42,1.066,1.017,6.42,16.31,20.3,53,75,1.048,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,14477
130,Lagunitas Brewing Co.- Lagunitas IPA Clone...,American IPA,7,20.82,1.059,1.015,5.82,73.67,7.22,13.25,60,1.093,70,N/A,Specific Gravity,Partial Mash,0.75,21.11,Corn Sugar,N/A,20681
131,NEIPA | Tired Hands Milkshake (approximation...,Double IPA,56,21,1.066,1.017,6.42,63.89,6.22,25,70,1.05,72,N/A,Specific Gravity,BIAB,1,18,N/A,N/A,54364
132,Grapefruit Honey Ale,American IPA,7,3.79,1.057,1.016,5.38,46.29,7.1,4.73,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,honey,3 tablespoons,2824
133,Campfire Stout,Oatmeal Stout,114,18.93,1.116,1.029,11.44,113.19,40,15.52,60,N/A,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
134,Hill Farmstead Edward Clone,American Pale Ale,10,10.6,1.054,1.013,5.32,51.73,4.65,14.38,60,1.04,70,1.5,Specific Gravity,All Grain,0.75,17.78,N/A,N/A,
135,Oatmeal IPA,American IPA,7,19.87,1.061,1.008,6.92,48.4,10.53,28.39,90,N/A,60,N/A,Specific Gravity,All Grain,1,20,N/A,N/A,9916
136,Goose Island 312,American Wheat or Rye Beer,15,18.93,1.045,1.012,4.21,20.55,3.73,24.61,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,corn sugar,4 oz,
137,Cascadian Dark Ale (Black IPA),American IPA,7,45.42,1.067,1.017,6.64,113.49,31.85,64.35,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
138,Rebel IPA,American IPA,7,20.82,1.061,1.011,6.58,37.83,9.38,28.39,60,1.045,75,1.5,Specific Gravity,All Grain,1,15.56,N/A,N/A,5889
139,ESB (Single hop: EKG),Extra Special/Strong Bitter (ESB),68,10,1.057,1.014,5.75,34.85,9.74,12,70,1.048,80,N/A,Specific Gravity,All Grain,0.75,19,Dextrose,N/A,
140,Great Lakes Christmas Ale Clone,Winter Seasonal Beer,174,22.71,1.072,1.017,7.31,28.98,11,30.7,60,1.053,70,N/A,Specific Gravity,BIAB,0.35,21.11,N/A,N/A,39433
141,Bell's Two Hearted Ale Clone,American IPA,7,20.82,1.067,1.014,7,50.85,5.6,28.39,60,1.049,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,5889
